step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,customer_id,account_age_days,high_risk_country,billing_country,is_disposable_email,customer_name,billing_city,email,is_new_device,shipping_billing_mismatch,num_failed_payment_attempts,browser,device_os,device_id,ip_billing_distance_km,hour_of_day,day_index,is_night,account_txn_total,account_txn_index,time_since_last_hours,txn_count_last_24h
608,CASH_OUT,3246.38,C253492095,58636.13,55389.75,C187823896,18608.7,21855.08,0,0,U41304,546,0,US,0,Stacey Lee,Scottburgh,leebernard@outlook.com,0,0,0,Safari,Linux,D76704656,106.7,8,25,0,1,0,-1,0
736,PAYMENT,3401.43,C193558626,11066.7,7665.27,M631153204,0.0,0.0,0,0,U185004,205,0,DE,0,Christopher Martinez,Stuartstad,georgehoward@proton.me,0,1,1,Samsung Internet,Windows,D19721787,103.8,16,30,0,1,0,-1,0
95,PAYMENT,2033.88,C170877511,8331.18,6297.3,M923729842,0.0,0.0,0,0,U88386,182,0,PH,0,William Jones,Lake Marissafort,cordovachristine@yahoo.com,1,0,1,Samsung Internet,iOS,D46158510,11.2,23,3,0,1,0,-1,0
299,TRANSFER,3765.41,C720353026,3544.49,0.0,C852898510,9906.22,13671.63,0,0,U176289,470,0,DE,0,Michaela Flores,South Jenniferstad,briana52@icloud.com,0,0,2,Chrome,Linux,D76956291,117.3,11,12,0,2,1,150,0
288,PAYMENT,1936.37,C933349514,82560.26,80623.89,M105112197,0.0,0.0,0,0,U82786,512,0,US,0,Christina Gray,Jasonberg,oliverrichard@yahoo.com,0,1,1,Opera,Linux,D58098773,80.0,0,12,1,3,1,148,0
166,CASH_OUT,1899.6,C188343750,19050.93,17151.33,C899086293,4269.26,6168.86,0,0,U8660,578,0,DE,0,Seth Hughes,Meghanborough,marmstrong@icloud.com,0,0,0,Opera,Android,D36181429,30.4,22,6,0,1,0,-1,0
638,CASH_IN,251.28,C278155675,28730.89,28982.17,C248963663,32157.96,32409.24,0,0,U180143,433,0,DE,0,Jamie Phillips,Yatesfurt,kchen@outlook.com,0,0,0,Samsung Internet,Android,D29518812,1390.0,14,26,0,2,0,-1,0
742,CASH_OUT,16421.43,C403846124,17173.8,752.37,C471911518,4080.55,20501.98,0,0,U173749,1377,0,DE,0,Brandon Le,Allenport,stricklandcourtney@icloud.com,0,0,0,Samsung Internet,Linux,D11864141,16.3,22,30,0,1,0,-1,0
379,TRANSFER,5182.52,C613195004,984.77,0.0,C112624109,14184.86,19367.38,0,0,U19657,918,0,BR,0,Joshua Hunt,Carolynland,pcarlson@gmail.com,1,0,0,Opera,Windows,D52445320,39.2,19,15,0,2,0,-1,0
690,TRANSFER,4743.12,C608613025,30351.2,25608.08,C989934502,15861.98,20605.1,0,0,U30315,184,0,BR,0,Christine Morris,Davidchester,yvonne45@proton.me,0,0,1,Opera,Linux,D43090084,120.6,18,28,0,1,0,-1,0
105,TRANSFER,7629.96,C987381479,24102.22,16472.26,C556881832,60876.98,68506.94,0,0,U80675,141,0,VN,0,Karen Wilson,West Jamestown,blloyd@hotmail.com,0,0,0,Safari,Android,D11416475,65.6,9,4,0,2,0,-1,0
600,CASH_IN,4856.58,C954240589,4831.39,9687.97,C338185581,53754.3,58610.88,0,0,U73138,209,0,FR,0,Cheyenne Cruz,Frederickville,carl71@proton.me,0,0,1,Chrome,iOS,D69215472,95.6,0,25,1,1,0,-1,0
361,TRANSFER,5727.17,C372061046,6393.48,666.31,C701725972,1193.65,6920.82,0,0,U26351,1130,0,US,0,Elizabeth Wilson,Michaelbury,bchurch@outlook.com,0,0,0,Samsung Internet,Linux,D53320980,67.6,1,15,1,1,0,-1,0
214,CASH_OUT,1274.3,C167345437,2920.42,1646.12,C568631058,308.94,1583.24,0,0,U54522,370,0,FR,0,Stephen Anderson,Michaelborough,robinsondiane@hotmail.com,0,0,0,Firefox,iOS,D62578497,69.6,22,8,0,1,0,-1,0
422,CASH_OUT,15700.71,C167417696,70975.61,55274.9,C237279934,19314.16,35014.87,0,0,U199838,995,1,RU,0,James Hodges,Michaelland,williamsbarry@icloud.com,0,0,0,Samsung Internet,Windows,D60992793,43.6,14,17,0,1,0,-1,0
435,CASH_OUT,5048.09,C568299750,14138.38,9090.29,C390308098,9489.73,14537.82,0,0,U63241,672,0,IN,0,Katrina Torres,Morrisview,christian59@outlook.com,0,0,0,Edge,Linux,D73782223,22.9,3,18,1,2,1,120,0
335,CASH_OUT,20129.28,C192354410,20868.49,739.21,C471458910,164140.95,184270.23,0,0,U6092,2158,0,BR,0,Raymond Smith,East Dustin,brandon58@proton.me,0,0,0,Samsung Internet,Windows,D55117881,379.3,23,13,0,1,0,-1,0
188,PAYMENT,888.62,C581802316,63157.19,62268.57,M740508536,0.0,0.0,0,0,U90120,509,0,DE,0,Diana Barnes,South Saraton,sanchezjoshua@icloud.com,1,0,0,Edge,iOS,D50414596,118.6,20,7,0,1,0,-1,0
438,CASH_OUT,11430.89,C890403724,28981.51,17550.62,C517613578,29728.72,41159.61,0,0,U105730,664,0,GB,0,Sharon Serrano,Walkerville,emily71@proton.me,0,0,0,Samsung Internet,iOS,D90263474,100.4,6,18,0,1,0,-1,0
